epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,7241.83,1.50657,1.59918,0.02209,0.56304,0.58628,0.59835,0.28519,1.80753,1.50116,0.04528,0.000473919,0.000473919,0.000473919
106,7306.24,1.4843,1.56285,0.02164,0.55452,0.60609,0.61231,0.28559,1.82252,1.53031,0.04516,0.000466163,0.000466163,0.000466163
107,7371.38,1.49433,1.58721,0.0216,0.50845,0.56449,0.55239,0.26308,1.73015,1.65283,0.04209,0.000458416,0.000458416,0.000458416
108,7436.5,1.49004,1.57239,0.02164,0.53569,0.57642,0.57444,0.27296,1.74875,1.61788,0.04332,0.000450682,0.000450682,0.000450682
109,7502.14,1.48307,1.54344,0.02214,0.53329,0.58845,0.57759,0.27628,1.74076,1.58788,0.04254,0.00044296,0.00044296,0.00044296
110,7568.23,1.4927,1.5456,0.02195,0.55732,0.60074,0.61127,0.30823,1.67989,1.55593,0.04203,0.000435254,0.000435254,0.000435254
111,7632.07,1.48881,1.5431,0.02121,0.56869,0.62056,0.62032,0.29775,1.77069,1.50498,0.04275,0.000427565,0.000427565,0.000427565
112,7696.66,1.49637,1.57513,0.02232,0.52602,0.61162,0.60766,0.29193,1.69831,1.54889,0.04139,0.000419895,0.000419895,0.000419895
113,7761.83,1.49419,1.56238,0.02156,0.53011,0.61737,0.59773,0.29048,1.70753,1.52704,0.0423,0.000412246,0.000412246,0.000412246
114,7827.65,1.49768,1.58593,0.02178,0.53751,0.6346,0.63665,0.29807,1.73754,1.48573,0.04172,0.00040462,0.00040462,0.00040462
115,7891.56,1.46118,1.56849,0.02131,0.55055,0.58639,0.60834,0.29432,1.71411,1.56287,0.04262,0.000397019,0.000397019,0.000397019
116,7956.86,1.48995,1.54784,0.02205,0.5769,0.62844,0.63128,0.31244,1.71116,1.47729,0.04166,0.000389445,0.000389445,0.000389445
117,8021.4,1.46549,1.56247,0.02175,0.57904,0.60907,0.61176,0.28673,1.78596,1.58708,0.04389,0.000381899,0.000381899,0.000381899
118,8088.45,1.46557,1.5344,0.02101,0.58111,0.62572,0.62908,0.30646,1.73116,1.49569,0.04229,0.000374383,0.000374383,0.000374383
119,8155.42,1.48016,1.55123,0.02102,0.5915,0.60105,0.6198,0.29099,1.74943,1.56921,0.04362,0.000366899,0.000366899,0.000366899
120,8220.28,1.46797,1.57203,0.02116,0.56198,0.6062,0.61565,0.29969,1.73049,1.51534,0.04249,0.00035945,0.00035945,0.00035945
121,8285.05,1.43657,1.53832,0.02044,0.56744,0.61935,0.61032,0.27677,1.75955,1.59088,0.04211,0.000352037,0.000352037,0.000352037
122,8356.29,1.47091,1.55278,0.02129,0.56889,0.60235,0.60578,0.29572,1.71269,1.51906,0.04147,0.000344661,0.000344661,0.000344661
123,8435.39,1.44565,1.48705,0.02048,0.54384,0.63326,0.61276,0.28813,1.75391,1.52625,0.0422,0.000337325,0.000337325,0.000337325
124,8499.59,1.47264,1.54143,0.02173,0.57989,0.63103,0.63116,0.29132,1.76862,1.53148,0.04281,0.00033003,0.00033003,0.00033003
125,8565.04,1.45247,1.50764,0.02115,0.57259,0.62329,0.61724,0.2901,1.77362,1.50728,0.0434,0.000322778,0.000322778,0.000322778
126,8629.87,1.45865,1.51046,0.02122,0.53405,0.63876,0.63742,0.31288,1.67591,1.46863,0.04064,0.000315572,0.000315572,0.000315572
127,8693.71,1.47651,1.56475,0.02136,0.52463,0.61826,0.61431,0.29104,1.75121,1.54012,0.04223,0.000308412,0.000308412,0.000308412
128,8758.25,1.44521,1.50826,0.02119,0.57572,0.61268,0.63014,0.30541,1.72438,1.47346,0.04095,0.0003013,0.0003013,0.0003013
129,8822.95,1.45021,1.51605,0.02043,0.59528,0.62583,0.6352,0.29572,1.74666,1.46832,0.04141,0.000294239,0.000294239,0.000294239
130,8887.23,1.45627,1.51783,0.02137,0.58359,0.59805,0.63461,0.29508,1.74834,1.50164,0.04129,0.00028723,0.00028723,0.00028723
131,8952.98,1.4248,1.49758,0.0208,0.52576,0.62727,0.62473,0.30599,1.70175,1.52556,0.041,0.000280275,0.000280275,0.000280275
132,9020.04,1.43557,1.49073,0.0202,0.55391,0.5984,0.60339,0.28674,1.72756,1.55486,0.04122,0.000273375,0.000273375,0.000273375
133,9084.28,1.44063,1.44727,0.0209,0.57041,0.61757,0.62542,0.3067,1.71172,1.48884,0.04174,0.000266532,0.000266532,0.000266532
134,9148.79,1.45239,1.50817,0.02071,0.54356,0.6136,0.6145,0.29983,1.7348,1.50862,0.04224,0.000259748,0.000259748,0.000259748
135,9213.2,1.44873,1.48064,0.02044,0.54189,0.61112,0.61788,0.29629,1.74995,1.52221,0.04311,0.000253024,0.000253024,0.000253024
